"title,""release_year"",""duration"",""genre"",""rating"",""votes"",""main_production"""
"Cobra Kai,""2018"",""30"",""Action"",""8.5"",""177031"",""EUA"""
"The Crown,""2016"",""58"","" History"",""8.7"",""199885"",""UK"""
"The Sandman,""2022"",""45"",""Drama"",""7.8"",""116358"",""UK"""
"Rick and Morty,""2013"",""23"",""Animation"",""9.2"",""502160"",""EUA"""
"Breaking Bad,""2008"",""49"",""Crime"",""9.5"",""1831340"",""EUA"""
"Stranger Things,""2016"",""51"",""Drama"",""8.7"",""1149889"",""EUA"""
"The Walking Dead,""2010"",""44"",""Drama"",""8.1"",""970060"",""EUA"""
"Peaky Blinders,""2013"",""60"",""Crime"",""8.8"",""531058"",""UK"""
"Fate: The Winx Saga,""2021"",""80"","" Adventure"",""6.9"",""43179"",""ITA"""
"Grey's Anatomy,""2005"",""41"",""Drama"",""7.6"",""303617"",""EUA"""
"Supernatural,""2005"",""44"","" Horror"",""8.4"",""439597"",""EUA"""
"Friends,""1994"",""22"",""Comedy"",""8.9"",""979424"",""EUA"""
"Modern Family,""2009"",""22"",""Comedy"",""8.5"",""423963"",""EUA"""
"The Blacklist,""2013"",""43"",""Crime"",""8"",""245591"",""EUA"""
"Lucifer,""2016"",""42"",""Crime"",""8.1"",""318928"",""EUA"""
"The Umbrella Academy,""2019"",""60"","" Adventure"",""7.9"",""243344"",""CAN"""
"Black Mirror,""2011"",""60"","" Mystery"",""8.8"",""535782"",""UK"""
"Attack on Titan,""2013"",""24"",""Animation"",""9"",""363297"",""JPN"""
"Manifest,""2018"",""43"","" Mystery"",""7.1"",""59167"",""EUA"""
"The Vampire Diaries,""2009"",""43"","" Horror"",""7.7"",""318383"",""EUA"""
